# Every value the two nearby implementations have to agree on.
# Generated by NearbyVectorsTest. Regenerate with UPDATE_GOLDEN=1, and read the diff.
#
# Format: <group> | <input> | <output>. Bytes are lowercase hex.
# Read by app/src/test/.../NearbyVectorsTest.kt and desktop/nearby/vectors.test.js.

# --- to256 ---
to256 | two | 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
sas | seven | 000007
sas | all-ones | 551615
sas | high-bit | 775808

# --- nonce ---
nonce | dir=1 seq=0 | 000000010000000000000000
nonce | dir=1 seq=1 | 000000010000000000000001
nonce | dir=1 seq=4294967295 | 0000000100000000ffffffff
nonce | dir=1 seq=4294967296 | 000000010000000100000000
nonce | dir=1 seq=9007199254740992 | 000000010020000000000000
nonce | dir=1 seq=18446744073709551615 | 00000001ffffffffffffffff
nonce | dir=2 seq=0 | 000000020000000000000000
nonce | dir=2 seq=1 | 000000020000000000000001
nonce | dir=2 seq=4294967295 | 0000000200000000ffffffff
nonce | dir=2 seq=4294967296 | 000000020000000100000000
nonce | dir=2 seq=9007199254740992 | 000000020020000000000000
nonce | dir=2 seq=18446744073709551615 | 00000002ffffffffffffffff

# --- gcm ---
gcm | key=01..20 dir=1 seq=0 type=0x20 pt=empty | e80300c94b24bd4245477a35813be9f1
gcm | key=01..20 dir=1 seq=0 type=0x20 pt=short | b837ca8febd4294e9de15fd2eb56e9e9cc77d7eab08fe68f
gcm | key=01..20 dir=1 seq=0 type=0x20 pt=block | d914aae78ab25722b51a03dd796b81cd961e5b65476b849ea53705032cc01307486d658101c8aa86402e06a20c5cc0364bca713408bb55c40f2aae4bf500915214b759811d6c9f2d8d0df7ff59824193

# --- frame ---
frame | type=0x10 payload=empty | 0000000110
frame | type=0x10 payload=one | 000000021041
frame | type=0x10 payload=sixteen | 0000001110000102030405060708090a0b0c0d0e0f

# --- beacon ---
beacon | name=ascii | 46545245010101010001c2950102030405060708090a0b0c0d0e0f10000306090c0f12150b5175696574204865726f6e
beacon | name=devanagari | 46545245010101010001c2950102030405060708090a0b0c0d0e0f10000306090c0f12150fe0a485e0a482e0a495e0a4bfe0a4a4
beacon | name=longest | 46545245010101010001c2950102030405060708090a0b0c0d0e0f10000306090c0f1215406e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
beacon | query | 46545245010103000000000000000000000000000000000000000000000000000000000000

# --- names ---
names | id=0000 | Quiet Heron
names | id=0102 | Amber Otter
names | id=ff80 | Olive Heron
names | id=7f10 | Olive Heron

# --- problems ---
problems | PROTOCOL_TOO_NEW | 0x01
problems | PROTOCOL_TOO_OLD | 0x02
problems | NOT_A_NEARBY_PEER | 0x03
problems | MALFORMED_FRAME | 0x04
problems | FRAME_TOO_LARGE | 0x05
problems | UNEXPECTED_MESSAGE | 0x06
problems | BAD_PUBLIC_KEY | 0x07
problems | WRONG_DEVICE | 0x08
problems | BAD_PAIRING | 0x09
problems | DECRYPT_FAILED | 0x0a
problems | CODES_DID_NOT_MATCH | 0x0b
problems | DECLINED | 0x0c
problems | TIMED_OUT | 0x0d
problems | CANCELLED | 0x0e
problems | CONNECTION_LOST | 0x0f
problems | TOO_LARGE | 0x10
problems | NO_SPACE | 0x11
problems | TRANSFER_INCOMPLETE | 0x12
problems | CONTENT_MISMATCH | 0x13
problems | TREE_FORMAT_TOO_NEW | 0x14
problems | IMPORT_REFUSED | 0x15
problems | NETWORK | 0x16
problems | PERMISSION | 0x17
problems | BUSY | 0x18
problems | UNKNOWN | 0xff

# --- import-problems ---
import-problems | NOT_AN_ARCHIVE | 0x01
import-problems | NOT_A_TREE_FILE | 0x02
import-problems | FROM_A_NEWER_VERSION | 0x03
import-problems | EMPTY | 0x04
import-problems | UNREADABLE | 0x05

# --- qrlink ---
qrlink | encode | ftree://nearby/v1?a=192.168.1.42&p=49813&d=00070e151c232a31383f464d545b6269&f=AQIDBAUGBwg&t=AAsWISw3Qk1YY255hI-apQ&n=Quiet%20Heron&v=1
qrlink.private | 10.0.0.1 | true
qrlink.private | 172.16.0.1 | true
qrlink.private | 192.168.1.1 | true
qrlink.private | 169.254.1.1 | true
qrlink.private | 8.8.8.8 | false
qrlink.private | 172.32.0.1 | false
qrlink.private | 10.0.0.010 | false
